Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,5132,"3,137",3905,3263,4771,10264,3646,1020,1002,1750,1750,1769,1218,1650,948,1029,573,1545,1747,2013,2704,2494,4056,1437,3108,2912
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,6730,"48,616",4359,74,5,737,2035,15738,16954,3455,1835,670,483,4,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,182,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,53,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32200,Misc. Capital P,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,344,-1,203,2590,21,753,385,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,5,25,0,40,102,225,431,1558,1043,596,721,662,467,843,1202,1550,524,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,0,0,12,100,35,148,8,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,40,40,128,53,17,253,0,0,186,659,145,103,130,235,351,137,167,2,24,158,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,0,3,8,3,0,0,6,11,7,90,83,35,0,18,7,6,8,19,77,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,1,9,0,0,32,99,122,299,298,320,1,22,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,32932,"32,987",32275,31844,27218,25233,21151,19329,24446,14448,25653,25872,28175,18589,14292,13115,13579,13151,13168,13561,13161,11515,10269,8562,13191,13764
