index,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,y
3081,16700,53423.0,85685.0,HomeImp,ProfExe,5.0,0.0,0.0,109.42942826,0.0,12.0,28.160611312,0
5359,30500,113822.0,148478.0,DebtCon,ProfExe,10.0,0.0,0.0,165.78827835,0.0,16.0,31.163207005,0
1482,11000,92521.0,110704.0,DebtCon,Other,13.0,0.0,0.0,208.89848526,2.0,16.0,39.250433285,0
2800,15700,60316.0,80000.0,DebtCon,Mgr,0.2,1.0,0.0,85.2,1.0,23.0,,1
3808,20000,122000.0,166100.0,DebtCon,ProfExe,2.6,0.0,2.0,206.96666667,1.0,18.0,,1
3804,20000,151982.0,,DebtCon,Self,,2.0,5.0,146.5,1.0,43.0,,1
3356,17800,36902.0,57622.0,HomeImp,Other,9.0,0.0,0.0,121.87970265,0.0,10.0,19.142116568,0
1643,11700,96532.0,107600.0,DebtCon,Other,12.0,0.0,0.0,214.86981675,2.0,15.0,40.287411441,0
5537,34800,139519.0,195663.0,DebtCon,ProfExe,22.0,0.0,0.0,182.66477215,0.0,22.0,36.955917364,0
1989,12900,105638.0,112608.0,DebtCon,Other,17.0,0.0,2.0,208.30688217,2.0,16.0,39.677905811,0
1473,11000,85758.0,108661.0,HomeImp,Mgr,11.0,0.0,0.0,255.28741537,0.0,24.0,29.434867143,0
2562,15000,,94000.0,,Other,,0.0,0.0,186.7,1.0,10.0,,0
4327,22500,48405.0,86989.0,DebtCon,Other,14.0,0.0,0.0,94.928088498,1.0,9.0,4.029951372,0
1326,10500,42003.0,53754.0,DebtCon,Other,16.0,0.0,0.0,84.551104187,0.0,12.0,32.342959321,0
2853,15900,102564.0,120724.0,DebtCon,ProfExe,0.0,0.0,0.0,125.83407016,0.0,30.0,37.993775785,0
4517,23600,70769.0,183593.0,,Other,11.0,0.0,0.0,367.09848754,1.0,17.0,33.789192331,0
5564,36000,89270.0,127834.0,DebtCon,Mgr,30.0,0.0,0.0,350.61952731,0.0,20.0,38.669072838,0
879,8800,74562.0,89695.0,HomeImp,Other,24.0,0.0,0.0,338.77674581,1.0,47.0,28.439716511,0
5339,30100,78124.0,116280.0,DebtCon,Mgr,10.0,0.0,0.0,73.753383522,1.0,35.0,26.406331958,0
5428,31900,23517.0,47805.0,DebtCon,Other,0.0,0.0,0.0,78.813600281,0.0,7.0,16.727748096,0
382,6400,53476.0,70157.0,DebtCon,ProfExe,7.0,0.0,3.0,164.31540986,1.0,30.0,21.137981572,0
1426,10900,,76207.0,,,,,,,,,22.392611597,0
4507,23500,62742.0,111921.0,DebtCon,ProfExe,15.0,0.0,3.0,282.97601589,0.0,36.0,27.148205463,0
77,3900,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0,171.66666667,1.0,31.0,,0
547,7400,138033.0,163162.0,HomeImp,ProfExe,11.0,0.0,0.0,224.84704249,0.0,19.0,21.057574023,0
3288,17500,46636.0,72908.0,DebtCon,Other,7.0,0.0,0.0,110.23090719,3.0,15.0,41.512292086,0
3657,19200,32417.0,97000.0,HomeImp,Other,6.0,0.0,0.0,130.86666667,0.0,15.0,,0
5562,36000,124000.0,176000.0,DebtCon,Other,21.0,,,257.7,5.0,35.0,,1
633,7900,126919.0,166566.0,HomeImp,Mgr,10.0,,,,,,,1
4035,21100,48624.0,83448.0,,,,,,,,,39.671408305,0
4205,21900,108000.0,144940.0,DebtCon,Other,13.0,0.0,0.0,260.76666667,1.0,22.0,,1
5472,33000,18026.0,57436.0,DebtCon,Other,0.0,0.0,0.0,94.118968045,0.0,5.0,37.749933733,0
4848,25400,69035.0,108365.0,DebtCon,ProfExe,13.0,0.0,0.0,281.22191088,1.0,33.0,39.543341495,0
4082,21300,143676.0,181960.0,HomeImp,Mgr,8.0,0.0,0.0,313.18746512,0.0,17.0,43.645348659,0
2621,15000,44623.0,72225.0,DebtCon,Other,1.0,0.0,0.0,268.4203579,0.0,21.0,28.13158042,0
3430,18100,73356.0,86885.0,DebtCon,Other,10.0,0.0,0.0,73.746710533,3.0,12.0,31.571018889,0
1657,11800,116742.0,137385.0,DebtCon,ProfExe,15.0,,1.0,170.54003506,1.0,33.0,30.785003591,0
471,7000,74795.0,99149.0,HomeImp,Other,1.0,0.0,1.0,175.57144277,0.0,32.0,34.449664673,0
