index,CLAGE,NINQ,CLNO,DEBTINC,y
0,94.366666667,1.0,9.0,,1
1,121.83333333,0.0,14.0,,1
2,149.46666667,1.0,10.0,,1
3,,,,,1
4,93.333333333,0.0,14.0,,0
5,101.46600191,1.0,8.0,37.113613558,1
6,77.1,1.0,17.0,,1
7,88.766029879,0.0,8.0,36.884894093,1
8,216.93333333,1.0,12.0,,1
9,115.8,0.0,13.0,,1
10,,,,,1
11,122.53333333,1.0,9.0,,1
12,86.066666667,2.0,25.0,,1
13,147.13333333,0.0,24.0,,0
14,123.0,0.0,16.0,,1
15,300.86666667,0.0,8.0,,1
16,122.9,1.0,22.0,,1
17,,,,3.7113122995,1
18,54.6,1.0,16.0,,1
19,90.992533467,0.0,13.0,31.588503178,0
20,122.26666667,1.0,14.0,,1
21,,1.0,0.0,,1
22,67.2,2.0,22.0,,1
23,121.73333333,0.0,10.0,,1
24,14.566666667,3.0,4.0,,1
25,70.491080032,1.0,21.0,38.263600731,1
26,93.811774855,0.0,13.0,29.681827045,0
27,136.06666667,1.0,19.0,,1
28,276.96666667,0.0,9.0,,1
29,208.0,0.0,12.0,,0
30,255.73333333,0.0,12.0,,0
31,145.63333333,3.0,45.0,,1
32,112.63333333,2.0,9.0,,1
33,165.33333333,2.0,26.0,,1
34,96.10232967,0.0,13.0,30.051136286,0
35,101.54029753,0.0,13.0,29.915859028,0
36,122.20466276,2.0,8.0,36.211347998,1
37,282.80165924,3.0,37.0,49.20639579,1
38,85.884371895,0.0,14.0,32.059783267,0
39,50.8,5.0,9.0,,1
40,77.766666667,0.0,3.0,,1
41,23.3,1.0,2.0,,1
42,130.03335846,0.0,27.0,,1
43,187.06666667,0.0,12.0,,1
44,9.3,14.0,2.0,,1
45,104.2,0.0,19.0,,1
46,262.16666667,5.0,26.0,,1
47,62.366666667,0.0,10.0,,1
48,211.93333333,0.0,25.0,,0
49,201.86666667,0.0,20.0,,0
50,153.16666667,1.0,14.0,,1
51,,,,,0
52,206.42660206,0.0,25.0,40.115677278,0
53,122.03333333,1.0,25.0,,1
54,298.13156403,0.0,7.0,35.553538789,1
55,121.86666667,3.0,21.0,,1
56,250.63126922,0.0,12.0,42.909997351,0
57,117.80574784,0.0,9.0,0.5244992154,1
58,139.0,0.0,36.0,,1
59,192.28914897,0.0,33.0,35.73055919,1
60,183.29991561,0.0,6.0,,1
61,162.36666667,0.0,14.0,,1
62,95.933333333,0.0,9.0,,1
63,,,,,1
64,72.033333333,2.0,4.0,,1
65,192.73333333,1.0,28.0,,0
66,202.51077515,0.0,25.0,41.516389699,0
67,88.470452135,0.0,14.0,29.393543382,0
68,97.4,0.0,17.0,,1
69,204.27249884,0.0,20.0,20.470915508,0
70,129.71732313,1.0,9.0,26.634347518,1
71,252.63333333,1.0,25.0,,1
72,203.75153358,0.0,20.0,20.067042051,0
73,,,,22.253949156,0
74,204.64799167,0.0,11.0,42.173165882,0
75,146.12324219,0.0,14.0,24.478881191,1
76,150.3,5.0,8.0,,1
77,171.66666667,1.0,31.0,,0
78,85.277365579,0.0,13.0,29.343921089,0
79,86.566666667,2.0,14.0,,1
80,94.724874167,0.0,13.0,29.390928055,0
81,205.58668003,0.0,19.0,21.806563464,0
82,126.53333333,3.0,12.0,,1
83,117.79510387,0.0,8.0,41.286491948,1
84,85.333333333,1.0,9.0,,1
85,92.133333333,1.0,26.0,,1
86,136.13333333,0.0,15.0,,1
87,168.66666667,0.0,18.0,,1
88,12.2,0.0,17.0,,1
89,162.0,3.0,16.0,,1
90,85.8,2.0,23.0,,1
91,279.0,1.0,6.0,,0
92,,0.0,0.0,,0
93,109.56666667,0.0,15.0,,0
94,160.3,1.0,23.0,,0
95,186.63333333,,9.0,,1
96,146.1,0.0,22.0,,1
97,212.34930388,0.0,25.0,39.128717628,0
98,227.79298841,0.0,25.0,39.166328703,0
99,100.77465221,0.0,19.0,33.840919904,1
100,63.933333333,2.0,15.0,,1
101,165.50503695,1.0,31.0,22.27817437,0
102,211.00259912,1.0,20.0,19.027704425,0
103,93.5,1.0,5.0,,1
104,128.83333333,0.0,31.0,,0
105,75.433333333,,16.0,,0
106,110.27866259,0.0,15.0,43.450587911,0
107,209.87130224,0.0,19.0,20.20803267,0
108,129.93286902,0.0,31.0,34.181376516,0
109,105.12070881,0.0,14.0,41.806376152,0
110,263.97030029,0.0,5.0,36.432093937,0
111,162.39001067,0.0,30.0,23.581079239,0
112,,,,,0
113,89.86105825,0.0,17.0,39.158084834,1
114,81.349065098,0.0,15.0,40.70530876,0
115,,,,25.227252904,0
116,170.36666667,1.0,19.0,,1
117,118.76041007,0.0,14.0,41.421110521,0
118,,0.0,0.0,11.652738796,0
119,222.6,1.0,13.0,,1
120,122.6,2.0,22.0,,1
121,125.8,0.0,34.0,,1
122,86.166666667,0.0,18.0,,0
