index,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ
0,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0
1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0
2,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0
3,1500,,,,,,,
4,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0
5,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0
6,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0
7,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0
8,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0
9,2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0
10,2000,22608.0,,,,18.0,,
11,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0
12,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0
13,2000,64536.0,87400.0,,Mgr,2.5,0.0,0.0
14,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0
15,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0
16,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0
17,2200,23030.0,,,,19.0,,
18,2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0
19,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0
20,2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0
21,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0
22,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0
23,2400,18000.0,,HomeImp,Mgr,22.0,,2.0
24,2400,,17180.0,HomeImp,Other,,0.0,0.0
25,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0
26,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0
27,2500,15000.0,20200.0,HomeImp,,18.0,0.0,0.0
