UDI,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,y
9031,M,297.5,308.4,1403,44.3,25,0
9168,M,297.6,308.7,1392,41.2,178,0
1550,L,298.4,308.9,1706,29.5,107,0
8440,L,298.6,309.8,1637,34.6,207,0
9376,H,297.7,308.4,1288,49.5,91,0
5522,L,302.6,311.9,1397,46.9,82,0
7496,L,300.3,311.9,1609,34.0,177,0
5783,L,301.7,311.1,1455,39.8,118,0
9621,L,298.9,310.0,1470,45.9,109,0
3601,L,301.7,310.5,1523,34.7,181,0
9727,L,298.8,309.8,1557,37.2,139,0
4070,M,301.9,310.7,1405,47.9,80,0
7657,L,300.5,311.6,1541,47.8,156,0
4284,M,301.8,309.9,1334,61.0,182,1
8887,L,297.9,309.0,1583,36.7,104,0
9841,H,298.3,309.2,1486,42.4,16,0
6505,M,301.0,310.1,1681,27.4,212,0
2883,L,300.6,309.6,1684,32.8,53,0
3805,L,302.3,310.9,1529,33.4,62,0
1556,L,298.4,308.6,1491,42.0,120,0
4996,L,303.6,312.6,1540,39.8,21,0
1432,M,298.9,309.9,1404,41.4,20,0
277,M,298.0,307.9,1750,26.6,67,0
190,M,298.3,308.4,1539,43.4,69,0
2222,L,299.6,309.0,1372,60.4,149,0
9142,L,297.5,308.5,1597,36.4,112,0
3103,L,299.9,309.1,1412,48.3,198,0
2706,L,299.7,309.2,1326,64.8,71,0
3801,M,302.1,310.9,1916,23.1,51,0
2914,L,300.7,309.6,1541,34.6,131,0
2415,L,299.1,308.5,1415,43.4,0,0
9265,M,298.3,309.0,1526,36.9,20,0
2530,M,298.8,308.6,1571,33.7,61,0
8679,L,297.3,308.5,1514,44.5,177,0
1742,M,298.5,308.0,1363,49.2,149,0
59,M,298.8,309.0,1661,29.5,162,0
2854,M,300.5,309.3,1539,39.1,216,0
7998,M,301.0,312.2,2710,9.7,143,1
2094,L,299.4,309.2,1564,39.0,26,0
5661,L,302.2,311.4,1477,41.7,15,0
1219,M,297.0,308.2,1702,30.7,124,0
9056,H,297.3,308.4,1864,23.1,90,0
2572,M,299.5,309.2,1497,40.9,169,0
7129,L,300.6,310.0,1511,36.9,105,0
6000,M,300.4,310.2,1671,30.5,234,1
1354,M,298.6,310.1,1444,48.1,39,0
8942,M,297.3,308.3,1595,32.2,29,0
5041,H,304.1,313.2,1586,34.6,139,0
4698,M,303.5,311.6,1573,34.0,134,0
376,L,297.4,308.2,1533,37.4,115,0
2477,H,298.9,308.4,1449,42.4,149,0
982,L,296.2,306.8,1655,31.1,136,0
1943,L,298.1,308.0,1456,42.4,59,0
4457,L,302.3,310.1,1487,46.0,184,0
2405,M,299.1,308.7,2008,20.3,178,0
51,L,298.9,309.1,2861,4.6,143,1
233,L,298.2,308.4,1424,47.6,179,0
3885,H,302.5,311.5,1626,36.0,44,0
1543,L,298.3,308.9,1379,54.7,91,0
3400,L,301.4,310.7,1605,34.2,94,0
2371,L,299.2,308.4,1620,34.1,89,0
7865,L,300.5,311.9,1330,59.5,33,0
9391,M,297.5,308.0,1560,39.0,141,0
7525,L,300.2,311.5,1639,31.1,31,0
1522,M,298.2,308.9,1585,34.3,33,0
9797,H,298.4,309.3,1694,30.9,111,0
4229,L,302.2,310.8,2203,16.6,47,0
7645,L,300.4,311.4,1424,44.6,127,0
9447,H,298.1,308.9,1388,53.5,83,0
2233,L,299.5,308.6,1672,30.5,177,0
5192,L,304.0,313.2,1416,46.0,128,0
6392,M,300.2,309.7,1413,43.0,137,0
2158,M,299.4,309.0,1939,19.8,204,0
3703,L,302.0,311.2,1434,44.9,15,0
5226,M,304.0,313.2,1437,53.9,7,0
5066,L,304.1,313.0,1566,37.2,7,0
525,L,297.4,309.4,1620,35.4,51,0
1068,L,296.9,307.8,1466,45.7,153,0
6864,L,301.1,311.3,1630,29.5,51,0
2698,L,300.0,309.6,1618,28.7,53,0
471,H,297.3,308.8,1499,44.2,134,0
3458,M,301.5,310.4,2639,12.0,21,1
1056,L,296.8,307.8,1480,39.4,122,0
2173,L,299.5,309.2,1816,23.0,15,0
9461,M,298.4,309.2,1399,45.2,125,0
3715,M,302.3,311.4,1855,23.9,43,0
1729,L,298.3,307.7,1465,49.4,109,0
2022,L,298.7,308.5,1480,42.2,58,0
3946,L,302.2,311.3,1570,36.1,0,0
6819,M,301.0,310.7,1657,29.9,148,0
8080,L,300.2,311.5,1528,36.1,125,0
5557,H,302.5,312.0,1357,42.0,179,0
495,L,297.6,309.4,1326,49.8,199,0
5780,L,301.6,311.1,1680,29.2,111,0
5738,L,302.3,311.8,1574,42.8,215,0
1802,M,298.0,307.5,1427,43.6,101,0
2119,H,299.3,308.9,1429,43.0,96,0
3850,L,302.3,311.0,1561,37.2,180,0
7819,L,299.8,311.2,2142,16.6,144,0
6892,L,300.9,311.5,1505,41.1,129,0
1816,M,298.1,307.6,1565,36.3,140,0
7716,L,300.5,311.5,1302,49.6,80,0
538,H,297.4,309.3,1516,43.0,83,0
7804,M,299.8,311.3,1517,41.2,105,0
2513,L,298.9,308.8,1530,38.3,23,0
994,M,296.1,307.1,1485,36.0,169,0
1657,L,298.2,308.1,1532,42.5,154,0
4836,M,303.4,311.9,1419,50.9,39,0
7939,L,300.8,311.7,1681,31.3,221,0
8505,L,298.4,309.7,1419,41.3,159,0
9571,L,299.7,310.9,1384,48.2,188,0
7624,L,300.6,311.7,1734,29.9,72,0
2836,L,300.3,309.2,1572,32.0,173,0
5641,L,302.6,312.1,1420,51.6,182,0
256,L,298.0,308.2,1489,40.4,11,0
634,L,298.3,310.0,1442,43.9,110,0
4026,H,302.1,311.0,1729,26.1,210,0
849,L,296.3,307.4,1465,47.1,215,0
4903,L,303.6,312.3,1616,29.3,226,0
1010,M,296.2,307.2,1385,44.0,5,0
134,M,298.7,308.4,1430,49.6,135,0
1425,L,298.7,309.7,1462,46.8,4,0
9526,L,299.1,310.3,1411,42.1,74,0
1146,L,297.0,307.8,1553,33.3,155,0
993,L,296.1,307.1,1651,35.7,167,0
3359,L,301.5,310.6,1522,36.6,202,0
7915,H,300.7,312.1,1490,43.1,159,0
1958,H,297.9,307.7,1618,35.9,92,0
9369,L,297.7,308.4,1510,38.6,72,0
707,M,297.8,309.0,1434,43.3,96,0
3894,L,302.3,311.2,1549,40.6,66,0
5758,L,301.9,311.3,1366,55.6,57,0
7029,M,300.6,310.6,1403,50.4,64,0
2744,L,299.6,309.1,1476,45.3,166,0
4699,L,303.4,311.6,1564,41.9,137,0
2804,L,300.2,309.5,1343,50.2,98,0
2391,L,299.2,308.5,1487,41.2,140,0
9299,L,298.1,308.9,1313,50.6,108,0
5437,M,302.9,312.5,1679,30.9,79,0
7170,L,300.3,310.2,1492,52.3,2,0
9080,H,297.3,308.1,1554,42.4,158,0
4929,L,303.5,312.3,1584,35.2,74,0
3479,L,301.8,310.7,1597,30.8,74,0
7093,L,300.7,310.2,1493,35.9,10,0
4570,L,302.8,310.9,1636,35.0,38,0
1298,L,298.8,309.9,1428,42.4,132,0
813,L,296.8,307.6,1338,44.4,128,0
6419,H,300.3,309.9,1405,52.1,205,0
6306,M,301.1,310.5,1603,32.6,121,0
4300,L,301.7,310.1,1402,50.1,3,0
6305,L,301.1,310.5,1532,37.5,119,0
5302,L,303.8,313.1,1309,55.8,193,0
5909,M,300.8,310.3,1526,36.3,205,0
9090,L,297.2,307.9,1989,20.3,186,0
3813,L,302.0,310.6,1392,50.0,84,0
7291,L,300.3,310.6,1806,24.4,88,0
8692,L,297.1,308.5,1555,36.2,0,0
3834,M,302.3,311.0,1541,36.6,143,0
1236,H,297.1,308.4,1654,31.4,171,0
3694,L,302.1,311.3,1521,31.5,202,0
8278,H,298.8,310.5,1294,55.8,202,0
9880,M,298.8,309.8,1490,38.6,127,0
2315,L,299.2,308.9,1368,47.2,175,0
5344,L,303.5,312.8,1607,38.4,92,0
9181,L,297.9,309.1,1507,36.9,13,0
6546,M,301.4,310.8,1738,30.3,104,0
2608,L,299.4,309.3,1448,48.6,44,0
2715,M,299.6,309.1,1366,55.2,95,0
807,M,297.0,307.9,1422,53.0,115,0
8479,M,298.5,309.7,1354,60.8,96,0
9982,L,298.7,308.5,1353,47.0,190,0
9835,M,298.3,309.1,1632,32.7,0,0
94,L,299.1,309.0,1450,43.0,40,0
6324,L,300.7,310.1,1351,46.9,165,0
4882,M,303.8,312.6,1406,47.1,162,0
2497,M,299.2,308.9,1573,37.4,212,0
2980,L,300.5,309.5,1542,38.5,108,0
8396,M,298.5,309.5,1483,44.8,92,0
3937,L,302.5,311.5,1985,18.8,190,0
7447,L,300.2,311.8,1379,51.0,46,0
3890,L,302.4,311.2,1404,52.0,57,0
8473,L,298.5,309.7,1634,37.8,78,0
9864,L,298.9,309.8,1411,56.3,84,0
1169,L,297.1,308.1,1584,36.8,215,0
8282,H,298.9,310.6,1519,38.8,213,0
9321,L,298.4,309.3,1409,43.1,166,0
2491,H,299.1,308.8,1566,46.6,192,0
6654,M,301.4,310.3,1610,29.1,166,0
8842,L,297.3,308.7,1506,39.3,187,0
1040,L,296.7,307.7,1524,36.8,82,0
6031,L,300.6,310.7,1397,53.7,80,0
7820,L,299.8,311.2,1369,46.2,146,0
3511,L,301.7,311.0,1474,42.6,164,0
4106,L,302.0,310.6,1583,35.2,171,0
323,L,297.8,308.5,1448,40.0,192,0
4104,L,302.0,310.4,1448,43.4,167,0
239,L,297.9,308.1,1393,50.3,193,0
536,H,297.4,309.3,1365,52.4,76,0
2242,L,299.2,308.4,1711,28.9,197,0
6357,M,300.1,309.7,1420,48.4,36,0
8711,L,297.1,308.5,1712,32.1,48,0
3546,L,301.8,310.8,1576,38.6,38,0
5316,L,303.6,312.8,1710,27.2,14,0
9270,L,298.2,308.8,1354,60.9,32,0
9124,L,297.4,308.5,1462,42.8,68,0
9916,M,298.5,308.7,1662,28.3,15,0
1164,L,296.9,307.9,1367,47.1,204,0
6266,L,300.8,310.3,1383,46.6,19,0
9201,M,297.9,308.8,1602,32.1,59,0
1613,M,297.9,307.9,1540,39.8,38,0
6385,H,300.1,309.6,1463,45.1,113,0
7940,L,300.8,311.8,1417,43.4,223,0
3786,L,302.3,310.9,1545,36.7,18,0
1337,L,298.9,310.3,1583,32.6,230,0
5070,M,304.2,313.2,1380,48.7,17,0
7255,L,300.3,310.4,1493,37.5,219,0
5361,L,303.3,312.6,1463,44.0,140,0
5115,M,304.2,313.8,1481,44.9,136,0
3914,M,302.4,311.4,1675,29.6,128,0
4668,H,303.3,311.4,1651,30.6,50,0
