UDI,Rotational speed,Torque,Tool wear,y
1,1551,42.8,0,0
2,1408,46.3,3,0
3,1498,49.4,5,0
4,1433,39.5,7,0
5,1408,40.0,9,0
6,1425,41.9,11,0
7,1558,42.4,14,0
8,1527,40.2,16,0
9,1667,28.6,18,0
10,1741,28.0,21,0
11,1782,23.9,24,0
12,1423,44.3,29,0
13,1339,51.1,34,0
14,1742,30.0,37,0
15,2035,19.6,40,0
16,1542,48.4,42,0
17,1311,46.6,44,0
18,1410,45.6,47,0
19,1306,54.5,50,0
20,1632,32.5,55,0
21,1375,42.7,58,0
22,1450,44.8,63,0
23,1581,30.7,65,0
24,1758,25.7,68,0
25,1561,37.3,70,0
26,1861,23.3,73,0
27,1512,39.0,75,0
28,1811,24.6,77,0
29,1439,44.2,82,0
30,1693,30.1,84,0
31,1339,48.2,86,0
32,1798,25.5,89,0
33,1419,48.3,91,0
34,1665,32.5,93,0
35,1559,34.7,95,0
36,1452,48.6,98,0
37,1581,36.7,101,0
38,1439,39.2,104,0
39,1379,50.7,106,0
40,1350,52.5,111,0
41,1362,45.4,113,0
42,1368,50.8,115,0
43,1368,49.1,117,0
44,1372,48.5,120,0
45,1472,47.5,125,0
46,1489,49.1,128,0
47,1843,25.8,130,0
48,1418,46.3,133,0
49,1425,53.9,135,0
50,1412,44.1,140,0
51,2861,4.6,143,1
52,1383,54.9,145,0
53,1497,43.8,147,0
54,1565,35.1,152,0
55,1691,30.1,154,0
56,1512,40.7,156,0
57,1477,42.4,158,0
58,1513,40.3,160,0
59,1661,29.5,162,0
60,1378,54.4,165,0
61,1393,52.6,167,0
62,1592,38.2,169,0
63,1829,22.9,172,0
64,1812,25.9,174,0
65,1523,38.6,177,0
66,1394,45.1,179,0
67,1679,28.7,181,0
68,1466,44.1,184,0
69,1527,32.4,189,0
70,1410,65.7,191,1
71,1924,22.6,193,0
72,1452,45.5,196,0
73,1369,44.4,198,0
74,1592,35.0,200,0
75,1601,32.3,202,0
76,1379,46.7,204,0
77,1461,47.9,206,0
78,1455,41.3,208,1
79,1398,51.5,0,0
80,1402,37.9,2,0
81,1445,49.9,4,0
82,1450,47.5,9,0
83,1453,40.8,11,0
84,1469,40.1,13,0
85,1422,47.6,15,0
86,1804,26.8,17,0
87,1436,43.9,20,0
88,1544,31.8,25,0
89,1419,45.2,27,0
90,1487,39.5,30,0
91,1753,25.8,33,0
92,1830,24.9,35,0
93,1727,27.1,37,0
94,1450,43.0,40,0
95,1622,31.9,42,0
96,1351,52.2,44,0
97,1575,35.3,47,0
98,1750,29.9,50,0
99,1529,32.7,53,0
100,1523,44.4,55,0
101,1852,25.0,57,0
102,1991,20.7,59,0
103,1555,40.6,61,0
104,1441,40.5,63,0
105,1450,43.4,66,0
106,1591,31.1,68,0
107,1445,48.5,70,0
108,1497,46.8,72,0
109,1621,32.7,75,0
110,1572,34.1,80,0
111,1872,22.5,82,0
112,1499,43.5,84,0
113,1498,39.5,89,0
114,1486,41.9,92,0
115,1680,29.4,95,0
116,1431,45.7,97,0
117,1564,34.1,99,0
118,1599,33.0,101,0
119,1707,28.1,103,0
120,1467,40.7,106,0
121,1433,44.7,108,0
122,1558,41.2,110,0
123,1310,50.7,112,0
124,1546,43.4,114,0
125,1727,29.4,116,0
126,1560,32.2,118,0
127,1329,60.5,120,0
128,1413,46.5,122,0
129,1587,38.6,124,0
130,1559,34.3,126,0
131,1473,41.1,128,0
132,1737,27.7,130,0
133,1441,43.2,132,0
134,1430,49.6,135,0
135,1369,53.0,138,0
136,1711,28.5,140,0
137,1420,45.7,143,0
138,1297,55.3,148,0
139,1449,49.4,150,0
140,1268,55.8,155,0
141,1511,36.1,157,0
142,1544,35.2,159,0
143,1778,28.2,161,0
144,1407,50.5,164,0
145,1391,42.4,169,0
146,1513,33.6,172,0
147,1612,36.1,174,0
148,1515,40.1,179,0
149,1379,48.0,181,0
150,1473,39.9,184,0
151,1422,42.7,186,0
152,1463,37.6,188,0
153,1584,41.0,191,0
154,1850,27.0,194,0
155,1528,36.2,196,0
156,1987,19.8,198,0
157,1495,46.0,203,0
158,1478,43.5,206,0
159,1499,40.0,211,0
160,1471,47.0,214,0
161,1282,60.7,216,1
162,1412,52.3,218,1
163,1586,35.5,0,0
164,1468,43.8,2,0
165,1440,43.6,5,0
166,1733,26.0,8,0
167,1612,32.6,10,0
168,1458,42.9,15,0
169,1433,62.3,20,1
170,1318,59.1,22,0
171,1610,35.0,24,0
172,1462,50.8,27,0
173,1924,20.8,29,0
174,1591,33.7,32,0
175,1306,58.3,35,0
176,1382,43.5,37,0
177,1618,34.7,39,0
178,1988,21.4,41,0
179,1436,50.2,43,0
180,1304,49.8,45,0
181,1475,49.9,47,0
182,1824,24.2,49,0
183,1342,48.1,54,0
184,1485,40.7,57,0
185,1667,30.6,59,0
186,1446,38.2,61,0
187,1301,56.0,63,0
188,1379,43.1,65,0
189,1606,33.6,67,0
190,1539,43.4,69,0
191,1477,49.9,72,0
192,1666,34.6,74,0
193,1398,51.8,76,0
194,1678,34.6,81,0
195,2678,10.7,86,1
196,1453,42.9,89,0
197,1432,49.5,91,0
198,1527,40.9,96,0
199,1588,35.0,99,0
200,1433,47.1,101,0
201,1609,35.0,103,0
202,1575,41.2,105,0
203,1636,35.7,107,0
204,1490,37.9,110,0
205,1741,32.8,112,0
206,1344,53.0,114,0
207,1609,35.3,117,0
208,1421,60.7,119,1
209,1591,36.7,122,0
210,1477,44.0,124,0
