UDI,Type,Air temperature,Process temperature
1,M,298.1,308.6
2,L,298.2,308.7
3,L,298.1,308.5
4,L,298.2,308.6
5,L,298.2,308.7
6,M,298.1,308.6
7,L,298.1,308.6
8,L,298.1,308.6
9,M,298.3,308.7
10,M,298.5,309.0
11,H,298.4,308.9
12,H,298.6,309.1
13,M,298.6,309.1
14,M,298.6,309.2
15,L,298.6,309.2
16,L,298.6,309.2
17,M,298.6,309.2
18,M,298.7,309.2
19,H,298.8,309.2
20,M,298.9,309.3
21,H,298.9,309.3
22,L,298.8,309.3
23,M,298.9,309.3
24,L,299.0,309.4
25,M,299.0,309.4
26,L,299.0,309.5
27,L,299.1,309.5
28,H,299.1,309.4
29,L,299.1,309.4
30,L,299.0,309.4
31,M,299.1,309.5
32,L,299.0,309.4
33,L,299.0,309.4
34,L,298.9,309.3
35,M,298.8,309.1
36,M,298.8,309.2
37,M,298.9,309.2
38,L,298.8,309.1
39,H,298.9,309.2
40,L,298.8,309.1
41,L,298.8,309.1
42,L,298.8,309.1
43,M,298.8,309.1
44,H,298.8,309.2
45,M,298.8,309.1
46,L,298.8,309.1
47,M,298.7,309.0
48,L,298.8,309.1
49,H,298.8,309.2
50,M,298.9,309.2
51,L,298.9,309.1
52,L,298.9,309.1
53,H,298.8,309.0
54,L,298.7,309.0
55,L,298.7,309.0
56,L,298.8,309.1
57,L,298.8,309.1
58,L,298.8,309.1
59,M,298.8,309.0
60,L,298.8,309.1
61,L,298.8,309.1
62,M,298.8,309.0
63,L,298.8,309.0
64,M,298.9,309.0
65,L,299.0,309.1
66,L,299.0,309.1
67,M,298.9,308.9
68,H,298.8,308.9
69,L,298.8,308.9
70,L,298.9,309.0
71,M,298.9,309.0
72,L,298.9,309.1
73,L,298.9,309.1
74,L,299.0,309.1
75,L,298.9,309.0
76,L,298.8,308.9
77,L,298.8,308.9
78,L,298.8,308.9
79,L,298.8,308.9
80,L,298.8,308.9
81,H,298.8,308.8
82,L,298.9,308.9
83,L,298.9,308.9
84,L,299.0,309.0
85,L,298.9,308.9
86,M,299.0,309.0
87,H,299.0,309.0
88,L,299.0,309.0
89,M,299.0,309.0
90,M,298.9,308.9
91,L,298.9,308.9
92,L,298.9,308.9
93,M,298.9,308.9
94,L,299.1,309.0
95,L,299.0,308.9
96,M,299.0,309.0
97,M,299.0,309.0
98,M,298.9,308.9
99,L,298.9,308.8
100,L,298.8,308.8
101,L,298.8,308.9
102,L,298.8,308.8
103,L,298.8,308.8
104,M,298.8,308.8
105,L,298.8,308.7
106,L,298.8,308.7
107,L,298.8,308.7
108,M,298.8,308.8
109,H,298.9,308.8
110,L,298.9,308.7
111,L,298.8,308.6
