index,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,param1,param2,y
0,147,2,27970.9831,3691.74695,90.380931,22.437184,1
1,145,2,25063.64669,671.3267014,87.854975,22.986757,1
2,158,2,6038.477155,1426.839831,85.279935,23.610181,1
3,178,2,760.7033397,0.0,81.56451,43.882221,1
4,185,3,270.3674263,0.0,81.161057,43.834976,1
5,185,3,270.3674263,0.0,81.248335,43.966008,1
6,185,3,270.3674263,0.0,81.074165,43.836019,1
7,178,2,760.7033397,0.0,81.547132,43.688309,1
8,185,3,270.3674263,0.0,81.239566,43.591386,1
9,185,3,270.3674263,0.0,81.324148,43.978094,1
10,185,3,270.3674263,0.0,81.419105,43.761281,1
11,183,3,165.8319872,0.0,80.985762,43.842698,1
12,183,3,165.8319872,0.0,80.998887,43.546925,1
13,183,3,165.8319872,0.0,80.800777,43.801366,1
14,185,3,270.3674263,0.0,81.25112,43.805409,1
15,183,3,165.8319872,0.0,80.866547,43.833523,1
16,185,3,270.3674263,0.0,81.31971,43.727804,1
17,185,3,270.3674263,0.0,81.206167,43.8284,1
18,167,2,1044.908233,0.0,80.79963,44.045009,1
19,183,3,165.8319872,0.0,80.90709,43.99365,1
20,203,3,252.1598838,0.0,81.12118,43.15416,1
21,167,2,1945.913549,0.0,35.330164,32.791981,1
22,167,2,1945.913549,0.0,35.306662,32.776675,1
23,191,3,523.3880539,0.0,35.028724,32.456501,1
24,167,2,1945.913549,0.0,35.435592,32.694453,1
25,167,2,1945.913549,0.0,35.465791,32.811608,1
26,167,2,1945.913549,0.0,35.465791,32.811608,1
27,159,2,558.6841025,0.0,35.63843,32.75435,1
28,156,4,176.7408241,0.000270372,82.661315,53.804183,1
29,149,2,248.5527282,0.000305944,47.9557,51.446,1
30,149,2,248.5527282,0.000305944,47.931788,51.445628,1
31,150,2,156.6862837,0.001739317,69.124549,55.569204,1
32,151,2,131.9575087,0.006330749,69.3242,55.4583,1
33,149,4,1719.636454,32.81055754,91.876,22.298,1
34,160,9,9.145161204,0.0,35.1877,31.5729,1
35,153,2,262.0668625,0.004211262,72.75143,54.55858,1
36,153,2,260.1336625,0.004758991,72.12187,54.98289,1
37,151,9,185.7729687,0.001074965,75.814718,54.955058,1
38,155,2,104.7709918,0.000793021,70.16604,55.937892,1
39,150,2,156.6862837,0.001739317,69.20185,55.6713,1
40,155,2,175.6994304,0.002391627,78.649628,54.917817,1
41,152,2,213.1550973,0.002538065,74.871614,54.81272,1
42,154,2,144.7600887,0.000451896,78.096482,54.92527,1
43,153,2,250.2906518,0.005896505,73.05368,54.323148,1
44,151,9,185.7729687,0.001074965,75.51794,54.84852,1
45,153,2,176.1309735,0.001512286,76.867777,55.05673,1
46,153,2,286.2762257,0.003381517,74.14463,54.5556,1
47,171,2,944.6532683,1e-08,36.4843,34.9092,1
48,145,2,24730.39136,800.2351969,88.95,24.73,1
49,145,2,22074.53379,377.1849474,89.09,22.65,1
50,145,2,36535.52167,207.2462842,86.3711,20.9605,1
51,146,2,8614.420873,116.2412195,86.857682,21.636522,1
52,146,2,8614.420873,116.2412195,86.91667,21.585458,1
53,156,2,251.9028643,0.000839016,79.95024,52.49329,1
54,147,2,10521.85943,1010.077194,91.696838,24.589827,1
55,147,2,21988.65273,494.4530552,90.414794,24.721343,1
56,145,2,27967.79992,536.094454,89.333251,23.136049,1
57,145,2,24730.39136,800.2351969,88.940108,24.542086,1
58,150,2,39462.81784,1042.23329,88.968374,25.835213,1
59,161,2,602.6296796,0.0,35.406541,33.050647,1
60,153,2,161.604946,0.000932622,76.96952,55.81528,1
61,145,2,36535.52167,207.2462842,86.3711,20.9605,1
62,146,2,8614.420873,116.2412195,86.857682,21.636522,1
63,146,2,8614.420873,116.2412195,86.91667,21.585458,1
64,145,2,8504.041943,322.0633522,90.598,23.685,1
65,155,2,104.7709918,0.000793021,70.273,55.652,1
66,149,4,1719.636454,32.81055754,91.876,22.298,1
67,155,2,104.7709918,0.000793021,70.143763,55.924905,1
68,149,3,310.2914362,0.00160353,46.603424,51.29798,1
69,154,2,229.9346524,0.001855764,74.533353,55.081623,1
70,155,2,104.7709918,0.000793021,70.495382,55.609609,1
71,154,2,144.7600887,0.000451896,78.265121,54.895912,1
72,154,2,229.9346524,0.001855764,74.593919,55.048349,1
73,183,3,165.8319872,0.0,80.99361,43.54425,1
74,152,2,213.1550973,0.002538065,74.871614,54.81272,1
75,154,2,144.7600887,0.000451896,78.096482,54.92527,1
76,152,2,213.1550973,0.002538065,74.871614,54.81272,1
77,154,2,144.7600887,0.000451896,78.096482,54.92527,1
78,153,2,286.2762257,0.003381517,74.14463,54.5556,1
79,190,2,601.3213745,0.0,36.4821,35.3084,1
80,148,3,234.2697435,0.00451319,46.090064,50.729202,1
81,148,3,234.2697435,0.00451319,46.4737,50.634,1
82,167,2,1945.913549,0.0,35.14742,32.5347,1
83,167,2,1945.913549,0.0,35.386941,32.83736,1
84,159,2,558.6841025,0.0,35.60182,32.68543,1
85,159,2,558.6841025,0.0,35.52139,32.84946,1
86,167,2,1945.913549,0.0,35.386941,32.83736,1
87,167,2,1945.913549,0.0,35.386941,32.83736,1
88,159,2,558.6841025,0.0,35.59485,32.96377,1
89,167,2,1945.913549,0.0,35.10078,32.88721,1
90,159,2,558.6841025,0.0,35.63843,32.75435,1
91,159,2,558.6841025,0.0,35.6,32.8,1
92,159,2,558.6841025,0.0,35.571879,32.905111,1
93,159,2,558.6841025,0.0,35.6,32.8,1
94,155,4,287.8432979,0.000276697,51.97163,56.704273,1
95,159,2,313.0785092,0.001298,52.057739,53.277093,1
96,153,2,273.1004233,0.014103236,71.765426,54.303234,1
97,153,2,191.1906738,0.000414864,72.288125,55.608657,1
98,154,2,191.9188095,0.000202869,48.42049,53.06498,1
99,151,2,0.0,0.001142567,49.0166,53.2418,1
100,144,2,224.6525478,0.001929675,50.769,53.569,1
101,200,2,693.2585781,0.018679905,43.47123,41.275959,1
102,160,2,541.0955888,0.090783198,48.682356,53.31121,1
103,149,2,223.9860321,0.001396443,52.0527,53.6039,1
104,156,4,66.68872963,0.000183841,63.242,56.924,1
105,153,2,273.1004233,0.014103236,71.599406,54.308897,1
106,155,3,255.1086888,0.008745306,72.579005,54.293137,1
107,153,2,268.8964691,0.003544422,73.552699,54.960695,1
108,152,2,223.7699429,0.002104975,51.795,53.928,1
109,159,2,129.6842959,0.001487305,63.7378,54.272,1
110,157,4,93.88023891,0.00022425,65.452267,55.51875,1
111,159,2,129.6842959,0.001487305,63.82546,54.43286,1
112,160,2,541.0955888,0.090783198,48.620115,53.367471,1
113,160,3,559.5466462,0.120827602,61.737598,55.391565,1
114,149,2,1620.225271,0.004158643,42.998808,41.637857,1
115,150,3,276.2739316,0.001188016,48.223867,52.720618,1
116,197,4,296.7153223,0.280069241,43.04024,41.63781,1
117,152,2,223.6049016,0.000343344,49.967458,53.578116,1
118,158,3,606.0038124,0.154632748,61.078315,54.968664,1
119,153,2,188.1844683,0.001018926,48.598902,52.848873,1
120,164,3,245.2306087,0.001185613,60.0987,54.013498,1
121,151,1,470.3342472,0.01592319,50.441284,53.011447,1
122,151,1,470.3342472,0.01592319,50.455518,53.173852,1
123,151,1,470.3342472,0.01592319,50.368106,53.155601,1
124,151,1,470.3342472,0.01592319,50.431088,53.098593,1
125,151,4,0.0,0.0,49.807109,53.052669,1
126,151,2,0.0,0.001142567,49.090837,53.378337,1
127,158,2,121.3357421,0.000543365,63.421231,54.671767,1
128,155,2,123.2178945,0.000314604,63.587311,54.676385,1
129,155,2,139.3843779,0.000764792,64.01455,54.652009,1
