index,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
0,41.6,12.8,0.0,2.3,1.7,12.7,19.1,25.5,15.7,0.0
1,40.5,13.3,0.0,2.4,0.0,13.2,19.8,26.5,16.3,0.0
2,27.3,13.6,0.08,2.3,0.6,9.4,16.2,23.0,13.0,0.98
3,45.3,12.8,31.0,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64
4,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
5,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
6,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
7,45.3,12.8,31.0,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64
8,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
9,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
10,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
11,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
12,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
13,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
14,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
15,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
16,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
17,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69
18,43.8,13.2,31.0,0.5,11.9,-21.8,-15.2,-8.6,0.8,4.87
19,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
20,45.1,13.7,31.0,0.5,7.1,-25.3,-18.4,-11.6,0.0,2.08
21,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
22,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
23,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
24,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
25,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
26,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
27,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
28,61.6,8.6,31.0,0.0,7.6,-26.7,-22.4,-18.1,1.1,7.49
29,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51
30,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51
31,45.1,8.4,31.0,0.0,3.5,-25.2,-21.0,-16.8,1.2,4.74
32,42.4,8.4,31.0,0.0,3.6,-25.1,-20.9,-16.7,1.2,4.47
33,30.5,11.3,0.0,2.5,3.9,14.0,19.6,25.3,15.3,0.0
34,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17.0,10.2,13.65
35,46.2,8.2,31.0,0.0,4.3,-25.7,-21.6,-17.5,1.1,4.43
36,47.0,8.3,31.0,0.0,4.3,-25.5,-21.3,-17.2,1.1,2.42
37,36.9,8.6,31.0,0.0,5.8,-27.3,-23.0,-18.7,1.0,3.3
38,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34
39,45.1,8.4,31.0,0.0,3.5,-25.2,-21.0,-16.8,1.2,4.74
40,52.7,8.0,31.0,0.0,6.1,-26.5,-22.5,-18.5,1.0,3.75
41,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66
42,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02
43,46.8,8.4,31.0,0.0,5.2,-25.5,-21.3,-17.1,1.1,3.63
44,36.9,8.6,31.0,0.0,5.8,-27.3,-23.0,-18.7,1.0,3.3
45,47.8,8.1,31.0,0.0,5.4,-26.8,-22.7,-18.7,1.0,3.53
46,44.8,8.3,31.0,0.0,5.2,-26.1,-21.9,-17.8,1.0,2.64
47,67.4,7.4,4.27,1.4,122.7,5.6,9.3,13.0,8.7,17.87
48,40.5,13.4,0.0,2.2,6.4,11.7,18.4,25.1,14.9,0.67
49,41.9,13.5,0.0,2.3,0.7,12.6,19.3,26.1,16.0,0.01
50,36.7,12.4,0.0,2.9,0.0,15.1,21.3,27.5,18.2,0.0
51,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13
52,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13
53,55.2,9.1,31.0,0.1,8.6,-25.9,-21.3,-16.8,1.0,6.21
54,43.9,14.0,0.0,2.0,9.8,11.0,18.0,25.0,14.7,0.85
55,44.0,13.1,0.0,2.1,5.7,11.9,18.4,25.0,14.8,0.65
56,42.8,14.3,0.0,2.2,2.5,11.6,18.7,25.9,15.7,0.08
57,40.5,13.4,0.0,2.2,6.4,11.7,18.4,25.1,14.9,0.67
58,36.6,13.7,0.0,2.1,6.9,10.9,17.7,24.6,14.6,0.89
59,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59
60,49.2,8.0,31.0,0.0,5.3,-26.1,-22.1,-18.1,1.0,4.19
61,36.7,12.4,0.0,2.9,0.0,15.1,21.3,27.5,18.2,0.0
62,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13
63,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13
64,39.0,13.8,0.0,2.2,3.9,11.7,18.6,25.5,15.1,0.65
65,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34
66,30.5,11.3,0.0,2.5,3.9,14.0,19.6,25.3,15.3,0.0
67,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34
68,75.2,6.4,30.78,0.2,46.1,-12.1,-8.9,-5.7,2.8,13.12
69,47.0,8.4,31.0,0.1,5.1,-26.4,-22.2,-18.0,0.9,2.59
70,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34
71,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02
72,47.0,8.4,31.0,0.1,5.1,-26.4,-22.2,-18.0,0.9,2.59
73,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52
74,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66
75,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02
76,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66
77,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02
78,44.8,8.3,31.0,0.0,5.2,-26.1,-21.9,-17.8,1.0,2.64
79,69.9,6.6,3.73,1.6,119.1,5.9,9.2,12.5,7.9,17.51
80,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86
81,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86
82,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
83,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
84,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
85,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
86,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
87,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
88,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
89,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
90,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
91,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
92,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
93,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
94,66.1,6.2,31.0,0.1,48.0,-16.8,-13.7,-10.6,1.9,21.36
95,65.5,7.3,31.0,0.2,37.3,-17.1,-13.4,-9.8,1.8,16.12
96,47.5,8.4,31.0,0.0,4.5,-25.2,-21.0,-16.8,1.2,2.45
97,49.8,8.3,31.0,0.0,4.5,-26.0,-21.8,-17.7,1.0,3.51
98,71.9,6.3,31.0,0.1,46.4,-14.8,-11.6,-8.5,2.3,18.35
99,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
100,67.2,6.3,31.0,0.1,47.0,-16.1,-12.9,-9.8,2.0,18.65
101,65.3,10.1,31.0,0.4,35.8,-15.0,-9.9,-4.9,2.2,8.96
102,71.9,6.3,31.0,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45
103,66.9,6.9,31.0,0.2,38.4,-17.1,-13.6,-10.2,1.8,17.0
104,62.9,7.6,31.0,0.0,8.4,-20.8,-17.0,-13.2,1.5,3.69
105,47.5,8.4,31.0,0.0,4.5,-25.2,-21.0,-16.8,1.2,2.45
106,45.8,8.3,31.0,0.0,5.0,-25.7,-21.5,-17.4,1.0,3.9
107,48.0,8.1,31.0,0.0,5.0,-25.7,-21.6,-17.6,1.0,2.71
108,66.9,6.9,31.0,0.1,41.5,-17.0,-13.5,-10.1,1.9,17.74
109,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63
110,46.0,8.2,31.0,0.0,6.1,-22.7,-18.6,-14.5,1.4,3.91
111,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63
112,71.9,6.3,31.0,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45
113,52.9,8.1,31.0,0.1,6.7,-20.8,-16.7,-12.7,1.4,3.74
114,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37
115,72.2,6.3,31.0,0.1,48.5,-14.5,-11.3,-8.2,2.4,17.03
116,68.9,9.6,30.84,0.4,37.8,-12.4,-7.6,-2.8,2.8,8.85
117,71.3,6.2,31.0,0.1,47.1,-15.5,-12.4,-9.3,2.1,19.28
118,51.6,8.2,31.0,0.1,6.3,-21.0,-16.9,-12.8,1.4,5.9
119,71.0,6.5,31.0,0.1,43.2,-14.4,-11.1,-7.9,2.4,17.23
120,56.3,8.5,31.0,0.1,7.0,-22.0,-17.7,-13.5,1.3,5.36
121,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07
122,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07
123,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07
124,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07
125,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94
126,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
127,38.0,8.7,31.0,0.0,5.3,-22.4,-18.0,-13.7,1.4,4.09
128,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83
129,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37
130,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94
131,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83
132,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35
133,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37
134,42.8,8.5,31.0,0.0,3.7,-24.8,-20.5,-16.3,1.2,3.72
135,42.8,8.5,31.0,0.0,3.7,-24.8,-20.5,-16.3,1.2,3.72
136,38.0,8.7,31.0,0.0,5.3,-22.4,-18.0,-13.7,1.4,4.09
137,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83
138,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37
139,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37
140,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37
141,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37
142,70.9,6.5,31.0,0.1,41.2,-14.9,-11.6,-8.4,2.4,16.73
143,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13
144,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94
145,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94
146,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13
147,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94
148,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94
149,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63
150,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35
151,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35
152,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07
153,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7
154,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
155,39.2,8.7,31.0,0.0,5.2,-22.2,-17.8,-13.5,1.4,3.38
156,67.5,13.2,0.0,4.1,139.0,19.2,25.8,32.4,19.6,13.3
157,67.5,12.5,0.0,4.3,108.0,18.0,24.2,30.5,16.5,9.5
158,67.5,13.3,0.0,4.2,129.0,19.3,25.9,32.6,18.9,12.7
159,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
160,70.0,13.1,0.0,4.3,104.0,18.6,25.1,31.7,16.3,9.7
161,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
162,70.0,13.1,0.0,4.3,104.0,18.6,25.1,31.7,16.3,9.7
163,66.3,13.3,0.0,4.4,108.0,19.2,25.8,32.5,17.8,12.0
164,67.5,11.9,0.0,3.8,167.2,18.5,24.4,30.4,22.1,15.24
165,66.3,12.7,0.0,4.0,143.0,19.1,25.4,31.8,20.4,14.4
166,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13
167,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13
168,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
169,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7
